ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Datetime,OccupancyRate,Price
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,04-10-2016 07:59:00,0.10571923743500866,10.0
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,04-10-2016 08:25:00,0.11091854419410745,8.054592720970538
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,04-10-2016 08:59:00,0.1386481802426343,6.247833622183709
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,04-10-2016 09:32:00,0.1854419410745234,5.0
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,04-10-2016 09:59:00,0.25996533795493937,5.0
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,04-10-2016 10:26:00,0.30675909878682844,5.0
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,04-10-2016 10:59:00,0.37954939341421146,5.0
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,04-10-2016 11:25:00,0.42807625649913345,5.0
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,04-10-2016 11:59:00,0.4488734835355286,5.0
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,04-10-2016 12:29:00,0.4610051993067591,5.0
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,04-10-2016 13:02:00,0.4662045060658579,5.0
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,04-10-2016 13:29:00,0.4558058925476603,5.0
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,04-10-2016 14:02:00,0.4124783362218371,5.0
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,04-10-2016 14:29:00,0.37261698440207974,5.0
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,04-10-2016 14:57:00,0.3327556325823224,5.0
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,04-10-2016 15:30:00,0.28596187175043325,5.0
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,04-10-2016 16:04:00,0.2807625649913345,5.0
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,04-10-2016,16:31:00,04-10-2016 16:31:00,0.24783362218370883,5.0
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,05-10-2016 07:57:00,0.09358752166377816,5.0
